         4       451

Path index:         1
 -0.280432412585E-18 -0.426756490791E+00 -0.120276809088E+00
 -0.291906977169E-18 -0.403320203041E+00 -0.101548744145E+00
 -0.299937800070E-18 -0.379882244294E+00 -0.828227704781E-01
 -0.303023401432E-18 -0.356468273353E+00 -0.640668123632E-01
 -0.300657414043E-18 -0.333096579791E+00 -0.452581989106E-01
 -0.293195676830E-18 -0.309775597094E+00 -0.263867451756E-01
 -0.281452037664E-18 -0.286505921376E+00 -0.745206292434E-02
 -0.266340022008E-18 -0.263283710588E+00  0.115408022137E-01
 -0.248669857762E-18 -0.240103540263E+00  0.305849536435E-01
 -0.229073133165E-18 -0.216960328466E+00  0.496740014911E-01
 -0.207999914744E-18 -0.193850536573E+00  0.688034949153E-01
 -0.185753084873E-18 -0.170772654817E+00  0.879714727331E-01
 -0.162546067703E-18 -0.147726493997E+00  0.107177577790E+00
 -0.138564185413E-18 -0.124711235418E+00  0.126420703123E+00
 -0.113987991090E-18 -0.101724158132E+00  0.145697483919E+00
 -0.889589901738E-19 -0.787626828422E-01  0.165004753340E+00
 -0.635361370431E-19 -0.558287016721E-01  0.184344673394E+00
 -0.377728971210E-19 -0.329234325402E-01  0.203718590034E+00

Path index:         2
         9
 -0.164950239974E-18 -0.114864264923E+01 -0.706573660215E+00
 -0.164950239974E-18 -0.117220005814E+01 -0.725149140969E+00
 -0.152052607532E-18 -0.119579585710E+01 -0.743675831758E+00
 -0.139089962385E-18 -0.121940927436E+01 -0.762180061689E+00
 -0.126768193065E-18 -0.124303937787E+01 -0.780662978348E+00
 -0.114594419566E-18 -0.126668590685E+01 -0.799124876064E+00
 -0.102337291432E-18 -0.129034803032E+01 -0.817566782496E+00
 -0.898998610454E-19 -0.131402459284E+01 -0.835990147747E+00
 -0.772474679579E-19 -0.133771398437E+01 -0.854397014102E+00

Path index:         3
         9
  0.145159550167E-15  0.114864264923E+01 -0.706573660215E+00
  0.145159550167E-15  0.117220005814E+01 -0.725149140969E+00
  0.148562204463E-15  0.119579585710E+01 -0.743675831758E+00
  0.151855570984E-15  0.121940927436E+01 -0.762180061689E+00
  0.154845777995E-15  0.124303937787E+01 -0.780662978348E+00
  0.157676314756E-15  0.126668590685E+01 -0.799124876064E+00
  0.160419965328E-15  0.129034803032E+01 -0.817566782496E+00
  0.163113128713E-15  0.131402459284E+01 -0.835990147747E+00
  0.165776894389E-15  0.133771398437E+01 -0.854397014102E+00

Path index:         4
        49
  0.145159550167E-15  0.114864264923E+01 -0.706573660215E+00
  0.145159550167E-15  0.112508524031E+01 -0.687998179461E+00
  0.141761162962E-15  0.110156920755E+01 -0.669370345366E+00
  0.138673492333E-15  0.107807567348E+01 -0.650714143802E+00
  0.135822367112E-15  0.105460712861E+01 -0.632026516830E+00
  0.133082640324E-15  0.103116529110E+01 -0.613305398966E+00
  0.130404523023E-15  0.100775103840E+01 -0.594549792589E+00
  0.127766760345E-15  0.984364699480E+00 -0.575759392067E+00
  0.125159668464E-15  0.961006133368E+00 -0.556934478011E+00
  0.122578772297E-15  0.937674767300E+00 -0.538075863073E+00
  0.120022109003E-15  0.914369638592E+00 -0.519184834093E+00
  0.117488969975E-15  0.891089445522E+00 -0.500263084422E+00
  0.114979290057E-15  0.867832601136E+00 -0.481312644078E+00
  0.112493368829E-15  0.844597282666E+00 -0.462335816746E+00
  0.110031782962E-15  0.821381471874E+00 -0.443335129146E+00
  0.107595419154E-15  0.798182985048E+00 -0.424313294088E+00
  0.105185589546E-15  0.774999493516E+00 -0.405273185885E+00
  0.102804208911E-15  0.751828535779E+00 -0.386217826598E+00
  0.100454023810E-15  0.728667520988E+00 -0.367150383302E+00
  0.981388910040E-16  0.705513721072E+00 -0.348074179554E+00
  0.958641062039E-16  0.682364246072E+00 -0.328992727638E+00
  0.936367823865E-16  0.659215994611E+00 -0.309909791430E+00
  0.914662637791E-16  0.636065569250E+00 -0.290829492544E+00
  0.893645240012E-16  0.612909145757E+00 -0.271756473615E+00
  0.873464077038E-16  0.589742288698E+00 -0.252696129075E+00
  0.854293825807E-16  0.566559720238E+00 -0.233654896983E+00
  0.836320884828E-16  0.543355091022E+00 -0.214640555476E+00
  0.819703180916E-16  0.520120902138E+00 -0.195662345157E+00
  0.804482581266E-16  0.496848922939E+00 -0.176730494108E+00
  0.790428318052E-16  0.473531711662E+00 -0.157854380677E+00
  0.776826586861E-16  0.450165855231E+00 -0.139038516273E+00
  0.762338528479E-16  0.426756490791E+00 -0.120276809088E+00
  0.745162866475E-16  0.403320203041E+00 -0.101548744145E+00
  0.723608631519E-16  0.379882244294E+00 -0.828227704781E-01
  0.696742184481E-16  0.356468273353E+00 -0.640668123632E-01
  0.664603768566E-16  0.333096579791E+00 -0.452581989106E-01
  0.627929853286E-16  0.309775597094E+00 -0.263867451756E-01
  0.587720155369E-16  0.286505921376E+00 -0.745206292434E-02
  0.544925179749E-16  0.263283710588E+00  0.115408022137E-01
  0.500307663013E-16  0.240103540263E+00  0.305849536435E-01
  0.454420968444E-16  0.216960328466E+00  0.496740014911E-01
  0.407641776614E-16  0.193850536573E+00  0.688034949153E-01
  0.360220663969E-16  0.170772654817E+00  0.879714727331E-01
  0.312333938310E-16  0.147726493997E+00  0.107177577790E+00
  0.264122238030E-16  0.124711235418E+00  0.126420703123E+00
  0.215701973864E-16  0.101724158132E+00  0.145697483919E+00
  0.167158850910E-16  0.787626828422E-01  0.165004753340E+00
  0.118553293030E-16  0.558287016721E-01  0.184344673394E+00
  0.699356046724E-17  0.329234325402E-01  0.203718590034E+00
